dataset,fold,threshold,precision,recall
DBLP-ACM,2,0.58,0.9821826280623608,0.9821826280623608
DBLP-ACM,2,0.59,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.6,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.61,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.62,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.63,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.64,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.65,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.66,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.67,0.9843400447427293,0.9799554565701559
DBLP-ACM,2,0.68,0.9865168539325843,0.977728285077951
DBLP-ACM,2,0.69,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.7,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.71,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.72,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.73,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.74,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.75,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.76,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.77,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.78,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.79,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.8,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.81,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.82,0.9864864864864865,0.9755011135857461
DBLP-ACM,2,0.83,0.9909502262443439,0.9755011135857461
DBLP-ACM,2,0.84,0.9909502262443439,0.9755011135857461
DBLP-ACM,2,0.85,0.9909502262443439,0.9755011135857461
DBLP-ACM,2,0.86,0.9909502262443439,0.9755011135857461
DBLP-ACM,2,0.87,0.9909502262443439,0.9755011135857461
DBLP-ACM,2,0.88,0.9909297052154195,0.9732739420935412
DBLP-ACM,2,0.89,0.9909297052154195,0.9732739420935412
DBLP-ACM,2,0.9,0.990909090909091,0.9710467706013363
DBLP-ACM,2,0.91,0.990909090909091,0.9710467706013363
DBLP-ACM,2,0.92,0.990909090909091,0.9710467706013363
DBLP-ACM,2,0.93,0.9908883826879271,0.9688195991091314
DBLP-ACM,2,0.94,0.9908883826879271,0.9688195991091314
DBLP-ACM,2,0.95,0.9954022988505747,0.9643652561247216
DBLP-ACM,3,0.05,0.9737991266375546,0.9955357142857143
DBLP-ACM,3,0.06,0.9737991266375546,0.9955357142857143
DBLP-ACM,3,0.07,0.975929978118162,0.9955357142857143
DBLP-ACM,3,0.08,0.975929978118162,0.9955357142857143
DBLP-ACM,3,0.09,0.975929978118162,0.9955357142857143
DBLP-ACM,3,0.1,0.975929978118162,0.9955357142857143
DBLP-ACM,3,0.11,0.975929978118162,0.9955357142857143
DBLP-ACM,3,0.12,0.975929978118162,0.9955357142857143
DBLP-ACM,3,0.13,0.9758771929824561,0.9933035714285714
DBLP-ACM,3,0.14,0.9758241758241758,0.9910714285714286
DBLP-ACM,3,0.15,0.9758241758241758,0.9910714285714286
DBLP-ACM,3,0.16,0.9757709251101322,0.9888392857142857
DBLP-ACM,3,0.17,0.9757709251101322,0.9888392857142857
DBLP-ACM,3,0.18,0.9757709251101322,0.9888392857142857
DBLP-ACM,3,0.19,0.9757709251101322,0.9888392857142857
DBLP-ACM,3,0.2,0.977924944812362,0.9888392857142857
DBLP-ACM,3,0.21,0.977924944812362,0.9888392857142857
DBLP-ACM,3,0.22,0.977924944812362,0.9888392857142857
DBLP-ACM,3,0.23,0.977924944812362,0.9888392857142857
DBLP-ACM,3,0.24,0.977924944812362,0.9888392857142857
DBLP-ACM,3,0.25,0.977924944812362,0.9888392857142857
DBLP-ACM,3,0.26,0.9865771812080537,0.984375
DBLP-ACM,3,0.27,0.9887892376681614,0.984375
DBLP-ACM,3,0.28,0.9887892376681614,0.984375
DBLP-ACM,3,0.29,0.9887892376681614,0.984375
DBLP-ACM,3,0.3,0.9910112359550561,0.984375
DBLP-ACM,3,0.31,0.9910112359550561,0.984375
DBLP-ACM,3,0.32,0.9910112359550561,0.984375
DBLP-ACM,3,0.33,0.9932432432432432,0.984375
DBLP-ACM,3,0.34,0.9932432432432432,0.984375
DBLP-ACM,3,0.35,0.9932432432432432,0.984375
DBLP-ACM,3,0.36,0.9932432432432432,0.984375
DBLP-ACM,3,0.37,0.9932432432432432,0.984375
DBLP-ACM,3,0.38,0.9932432432432432,0.984375
DBLP-ACM,3,0.39,0.9932432432432432,0.984375
DBLP-ACM,3,0.4,0.9932432432432432,0.984375
DBLP-ACM,3,0.41,0.9932432432432432,0.984375
